"Swap 
 Percentage",Measurement,Feature,sex,age,activities,Medu,health,famsup,freetime,goout,romantic,Fjob,reason,famrel,studytime,paid,internet,Walc,nursery,Pstatus,schoolsup,traveltime,higher,guardian,absences,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Total variation distance,activities,-,-,-,0.11,0.27,0.47000000000000003,0.15,0.14,0.25,0.35,0.04,0.2,0.25,0.12,0.52,0.13,0.31999999999999995,0.06,0.21,0.18,0.08,0.11,0.15,,0.03197452057746171,0.03197452057746171,1.7592428892189655,7.588893893148722,[],"[0.08473186239638242, 0.21883648601140854, 0.45223638205518, 0.11140342981474509, 0.08718843529967814, 0.21975905165876944, 0.3139305064130914, 0.014353070175438581, 0.15585384416924658, 0.21496548930834355, 0.08777046489949711, 0.48447806971307666, 0.08912010325129512, 0.2920950365100082, 0.03197452057746171, 0.18755029002428567, 0.1485445230723868, 0.0766922121612274, 0.06058538432831567, 0.1224675754431696]","[0.2039692003680078, 0.4851849197843778, 0.9287898776379999, 0.2596278776918875, 0.2213385800675985, 0.47341030723894184, 0.6649733793944317, 0.06111481471989208, 0.35542053105133586, 0.4663416034324843, 0.2035141948311571, 1.0077886310086448, 0.22120918032053427, 0.6129884842917124, 0.09619104691418637, 0.39188629433428557, 0.329316029250422, 0.15695585289388336, 0.1746306902830016, 0.2742423976339359]"
50%,Jensen-Shannon divergence,activities,-,-,-,0.06,0.07,0.1,0.06,0.06,0.08,0.1,0.03,0.07,0.07,0.05,0.09000000000000001,0.06,0.09000000000000001,0.04,0.06999999999999999,0.06,0.03,0.05,0.060000000000000005,,0.017173794418650003,0.017173794418650003,0.4758285290051756,1.2479038251780172,[],"[0.037745165580066097, 0.05028503985493399, 0.07579073483960636, 0.0382325677839298, 0.03611348395900501, 0.05528026245538016, 0.07835041591560152, 0.008643482572668459, 0.05131388930259204, 0.050018022271501664, 0.03651360153859155, 0.07145265167426045, 0.03820975797198948, 0.06553317348719992, 0.017173794418650003, 0.05807136155846728, 0.042630763499465485, 0.029848775858415822, 0.03059035468118738, 0.0455121699495387]","[0.05561953877912021, 0.07422110063380097, 0.09109838446218164, 0.05451815624667958, 0.05954061936838616, 0.07196134409681795, 0.09912635878752775, 0.02612525204616398, 0.0723136921904205, 0.06835840200801058, 0.05079457204281837, 0.08915939824553051, 0.053228309426278625, 0.0811117936463418, 0.03614077856089256, 0.06379218234835832, 0.05838107365221459, 0.03177167377388864, 0.05200374676396182, 0.058637448098622626]"
50%,Hellinger distance,Medu,-,-,-,-,0.66,0.77,0.5700000000000001,0.6,0.7,0.64,0.64,0.65,0.69,0.62,0.72,0.56,0.71,0.8,0.49,0.62,0.37,0.62,0.6,,0.39930062126732,0.39930062126732,3.1580967933151243,12.052688769182986,[],"[0.2600045035835521, 0.38343028776790333, 0.20190851841434995, 0.21765430709213923, 0.31748798175453125, 0.23779932994241298, 0.2643341919262444, 0.26302333407265166, 0.280365537238392, 0.28733269649915394, 0.3676858950507604, 0.22895641470220102, 0.33130382647320294, 0.4041427472903939, 0.3439860265474288, 0.2748948045797512, 0.2939088339187131, 0.25370050733350186, 0.30567259990832535]","[0.6604371273915799, 0.7696065121401188, 0.575485949957223, 0.601346754024287, 0.6996972519106242, 0.6336145281078085, 0.6469351249340469, 0.6562265407486809, 0.6890011744758198, 0.6176253482396677, 0.7204377568044142, 0.5588601024802675, 0.7123586560611965, 0.8070948650370344, 0.49666779773751407, 0.620302036594868, 0.37174061544733933, 0.6201261006029306, 0.5951245264875631]"
50%,Wasserstein distance,Medu,-,-,-,-,0.02,0.03,0.0,0.01,0.02,0.02,0.01,0.0,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.02,,0.005550065725838041,0.005550065725838041,0.06972368894040712,0.23093362057836325,[],"[0.00721609167151179, 0.016080959667171858, 0.0025586938596197, 0.0030028716139020003, 0.0076617068942545705, 0.00586199638175798, 0.004954953783207381, 0.0031624306130131202, 0.0061667396953756105, 0.00465164793805022, 0.02013893313105191, 0.00315380580225035, 0.00751939751666897, 0.005564440410442659, 0.01126831526155002, 0.004509338560464621, 0.00480545706331949, 0.00376472989794608, 0.0063047366675798204]","[0.013515078465249769, 0.023590294904617597, 0.00586918372406026, 0.008851930779515842, 0.01487348616038499, 0.01171824288967413, 0.01186630214110155, 0.008118821864680971, 0.013838508868853391, 0.01035983519453893, 0.02645229460939449, 0.00885624318489721, 0.01367463746436089, 0.01112456841550394, 0.01307233817942794, 0.008859118121818131, 0.0058576839763765706, 0.00857018696126557, 0.011864864672641091]"
50%,Total variation distance,Medu,-,-,-,-,0.53,0.73,0.37,0.42,0.5700000000000001,0.45999999999999996,0.47,0.47,0.51,0.46,0.76,0.41,0.5900000000000001,0.6399999999999999,0.37,0.49,0.26,0.45,0.47,,0.31138636208114623,0.31138636208114623,2.4079803425276007,13.626383514344457,[],"[0.206407096118176, 0.42795942075156324, 0.1036384685522616, 0.11022574132594776, 0.24735602988093489, 0.14798824567139288, 0.16900125389688947, 0.15954737428388854, 0.20928242929167987, 0.1793956943010239, 0.4536983014502195, 0.11773846121672205, 0.282482542421681, 0.34518699889667614, 0.2685470357863124, 0.19648521033650163, 0.20323666163380044, 0.14083308157913604, 0.22417791349810154]","[0.734726362231603, 1.1600782539860683, 0.4798958395832846, 0.5289720273279199, 0.8124209050610454, 0.6062122881387311, 0.6351239437664912, 0.6328366327072271, 0.713900667036394, 0.6423249768708071, 1.2187498366282061, 0.5274247979616193, 0.8796415937208933, 0.983953241053117, 0.6326430680619315, 0.6788578310917903, 0.4638168961482581, 0.5927072165576462, 0.7020971364114255]"
50%,Jensen-Shannon divergence,Medu,-,-,-,-,0.13,0.15000000000000002,0.11000000000000001,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.14,0.11,0.13,0.16,0.1,0.12000000000000001,0.06999999999999999,0.12000000000000001,0.12,,0.07844620783653629,0.07844620783653629,0.6145005272974391,2.3496551690494263,[],"[0.0503013004025797, 0.07261162388680599, 0.039679182342378834, 0.04278061393760415, 0.06171547303947561, 0.04660597980858165, 0.051831028008145805, 0.051636267518379464, 0.05444671778043362, 0.05652997782985945, 0.06763284345153915, 0.045143065480910474, 0.06433718458740728, 0.07913866760069478, 0.06682564484334316, 0.05363758349385511, 0.05746568290757999, 0.050113904698714726, 0.059675897303516565]","[0.1287265225519875, 0.14827905776886996, 0.11330462703509736, 0.11792969916967824, 0.13638439299552013, 0.12437344613646535, 0.12694478088446337, 0.12870991403846233, 0.13523687970513745, 0.12059950476110592, 0.13593084870654853, 0.10899574168706823, 0.1387793624288835, 0.15880782221515954, 0.09642848958479462, 0.12083819491146496, 0.07234342325353237, 0.12155716306580046, 0.11548529814938677]"
50%,Hellinger distance,health,-,-,-,-,-,0.63,0.42000000000000004,0.4,0.55,0.4,0.38,0.48,0.53,0.4,0.62,0.44,0.58,0.49,0.43,0.48,0.25,0.41000000000000003,0.47,,0.23452947213048056,0.23452947213048056,2.5636407583888685,8.373885585297858,[],"[0.4109424494431031, 0.19919525682881145, 0.18879809828364555, 0.3088916437955883, 0.18385630771072406, 0.1696684606459959, 0.254934796353475, 0.28658781129589433, 0.21447192123906977, 0.39109681082029607, 0.19638992276758768, 0.3499350968525509, 0.2569350908555611, 0.2905136067430302, 0.2559219501358358, 0.21385025704935864, 0.19297023355603563, 0.293262858140212]","[0.6304999281644285, 0.4183594784036637, 0.39795208524394365, 0.5446887979658857, 0.4084282430136753, 0.38233148205192147, 0.4863045776434085, 0.5270547480018212, 0.40537954304761353, 0.618479882331038, 0.4348431744520637, 0.5785192438866237, 0.4903284208510851, 0.43476111711151744, 0.4716116387299637, 0.2516722147722606, 0.4153739975152443, 0.47729701211170095]"
50%,Wasserstein distance,health,-,-,-,-,-,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,,0.00390703927553167,0.00390703927553167,0.07149249388100384,0.18390683989439732,[],"[0.01907376900185067, 0.00435984184057673, 0.0039041643386107496, 0.010355522789157589, 0.00224820067216023, 0.00225107560908114, 0.00420172030992609, 0.012015798860989491, 0.00225107560908115, 0.022987995619684662, 0.0037546676187228505, 0.011851927456497002, 0.00345711164740753, 0.0060186804439481805, 0.007513647642827132, 0.0042045952468470005, 0.00285337489401411, 0.011867739609562061]","[0.02283849889979675, 0.00841781530445675, 0.00570818725648867, 0.013664575185137678, 0.00600861816472493, 0.006015805507027209, 0.007963575270951241, 0.01351939087063116, 0.00345567417894704, 0.02614180142193502, 0.006912785826354571, 0.015615219885982612, 0.0057110621934096, 0.00857306189818648, 0.009320545497625992, 0.004954953783207381, 0.00631336147834255, 0.01277190727119171]"
50%,Total variation distance,health,-,-,-,-,-,0.5900000000000001,0.24,0.2,0.38,0.19,0.19,0.29000000000000004,0.36,0.19,0.62,0.26,0.44,0.25,0.27,0.3,0.15,0.23,0.36,,0.13009241705368807,0.13009241705368807,1.8385257378713817,8.915277444690567,[],"[0.46279433424716443, 0.10843354206950959, 0.09625912253203539, 0.2505937332967366, 0.07462658899135521, 0.06776583710407239, 0.14770468730688419, 0.24591492192147063, 0.10288897034998974, 0.48352039900297006, 0.09970985681070102, 0.3077554378263809, 0.1438100372120304, 0.1792585243359237, 0.17956281397821314, 0.1196712039329588, 0.0898508158508158, 0.25674581486617537]","[1.0547172575044046, 0.3419270362205229, 0.2891052909011166, 0.6325605441405546, 0.27363149753969235, 0.2506116437881143, 0.4347808890401476, 0.5990721716532204, 0.2924473698372261, 1.1080334082325929, 0.35830379250548083, 0.7495459610420292, 0.39660892785811414, 0.45211089089100925, 0.4827607890915874, 0.26827615527792587, 0.3202558147646685, 0.6105280044021586]"
50%,Jensen-Shannon divergence,health,-,-,-,-,-,0.12,0.08,0.08,0.11,0.08,0.07,0.1,0.1,0.08,0.11000000000000001,0.09,0.11000000000000001,0.1,0.09,0.09,0.05,0.08,0.1,,0.04610752273469866,0.04610752273469866,0.4964406168171106,1.6289834054515226,[],"[0.07723995748930557, 0.03909896548757176, 0.036998456184205046, 0.05951815777723204, 0.0364262376999414, 0.03356364465828762, 0.05002396709752431, 0.05460872107904145, 0.04243618669572534, 0.071371998340036, 0.03856033448382489, 0.06713254650099218, 0.05063948996897062, 0.05728288068750207, 0.04967986000159692, 0.041987759495355804, 0.03810546359948932, 0.055991560918221495]","[0.12024729035128205, 0.08208695415105066, 0.07824885146272834, 0.10576490814254581, 0.08055278646554384, 0.07538744639996742, 0.09529745498567288, 0.10255068330533762, 0.07990025758265953, 0.11571149723514626, 0.08501727710626585, 0.1118642500756871, 0.09693067703220588, 0.0851522546011158, 0.09173904356902152, 0.04922220975711766, 0.08146525463490498, 0.0918443085932692]"
50%,Hellinger distance,famsup,-,-,-,-,-,-,0.37,0.37,0.49,0.38,0.29000000000000004,0.44,0.48,0.55,0.55,0.36,0.52,0.4,0.41000000000000003,0.41000000000000003,0.19,0.33,0.44,,0.18503320346805302,0.18503320346805302,2.239266626344895,6.945297038676486,[],"[0.17661185922505443, 0.1671919337658339, 0.2863402031105221, 0.18771223979794457, 0.0889131772434312, 0.25413395875766814, 0.2709499092461102, 0.40241968052410754, 0.39124749497707095, 0.21760723263998125, 0.34005242186961687, 0.18503320346805302, 0.30829149081189733, 0.21819187081411634, 0.1526678785975725, 0.15718791733872112, 0.3039143735659821]","[0.36204342860983335, 0.367609522555556, 0.4863892268464802, 0.3734078291454823, 0.28492368781072697, 0.43916766995929235, 0.48526086614072306, 0.5484081493637291, 0.554393146257228, 0.35361186321453253, 0.5202249854726271, 0.3989741642740323, 0.40397745862134204, 0.4036848984724568, 0.19627696224886548, 0.32672939147020674, 0.4402137882133714]"
50%,Wasserstein distance,famsup,-,-,-,-,-,-,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,,0.00299712174006016,0.00299712174006016,0.06382288091021672,0.16295573708318523,[],"[0.00285193742555365, 0.00285193742555364, 0.00870530899654891, 0.0034542367104866004, 0.00135265782129332, 0.00360517089883496, 0.01036414759992034, 0.0181767886825233, 0.022986558151224197, 0.00255438145423831, 0.00990272022411253, 0.00299712174006016, 0.00751939751666896, 0.006608042512736991, 0.0028519374255536497, 0.0019492072323844302, 0.012919966522619161]","[0.007200279518446701, 0.00585049663407426, 0.0108054504172817, 0.00645279591900721, 0.00390703927553164, 0.0066094799811974095, 0.01352370327601254, 0.019828439943592402, 0.024787706132181207, 0.0039099142124525595, 0.01275034524428478, 0.0069041610155918505, 0.00932629537146781, 0.00976616072036871, 0.0033047399905987, 0.0034542367104865804, 0.014574492720609181]"
50%,Total variation distance,famsup,-,-,-,-,-,-,0.2,0.18,0.31,0.18,0.12,0.25,0.32,0.52,0.5599999999999999,0.16999999999999998,0.38,0.19,0.25,0.26,0.11,0.15000000000000002,0.35000000000000003,,0.08777046489949711,0.08777046489949711,1.620043066602374,7.5364462836072175,[],"[0.08724687669413833, 0.07577262226729764, 0.21975905165876944, 0.0905397975693302, 0.03007392324709806, 0.14932643479700963, 0.22416663279566498, 0.45223638205518, 0.48447806971307666, 0.10593588392597093, 0.2920950365100082, 0.08777046489949711, 0.19734447793769821, 0.1456372180499866, 0.0766922121612274, 0.06663716593600841, 0.27883295318779194]","[0.2803922159396627, 0.24798729706637246, 0.5298305050049412, 0.2680805302197722, 0.14623372202343835, 0.3960493028437896, 0.5464067512454608, 0.9744295314809205, 1.050358964979874, 0.27288162957583895, 0.6720423356998653, 0.2795262936007138, 0.4495611871292066, 0.40157434440441864, 0.17845277702238643, 0.21470582280875508, 0.6279330725618004]"
50%,Jensen-Shannon divergence,famsup,-,-,-,-,-,-,0.07,0.07,0.1,0.08,0.06,0.09,0.09,0.11,0.1,0.07,0.11000000000000001,0.08,0.08,0.08,0.04,0.06,0.09,,0.03651360153859155,0.03651360153859155,0.4330413466863933,1.3511362116361616,[],"[0.03466399056918674, 0.03286191741579503, 0.05528026245538016, 0.03701394802910028, 0.01760185717799677, 0.049885842336871614, 0.05181154651694261, 0.07579073483960636, 0.07145265167426045, 0.042934576944663974, 0.06553317348719992, 0.03651360153859155, 0.06072529680158397, 0.04230944782585177, 0.029848775858415822, 0.03106267874618799, 0.057765188077968564]","[0.07109581792284192, 0.07238374926285157, 0.09478928315017356, 0.07364800148536052, 0.056480144477098586, 0.08629193090316947, 0.09466272236687157, 0.10441099762046242, 0.10333822632420095, 0.06955591962352375, 0.10102131422720016, 0.07901834988086068, 0.07927932362762832, 0.0783740118688222, 0.038226594557261045, 0.06437865570179294, 0.08418116863604184]"
50%,Hellinger distance,freetime,-,-,-,-,-,-,-,0.37,0.44999999999999996,0.34,0.27,0.39,0.44000000000000006,0.51,0.52,0.34,0.49,0.37,0.36,0.38,0.18,0.29000000000000004,0.43999999999999995,,0.17231559553920284,0.17231559553920284,2.1831940441739883,6.1302467645817735,[],"[0.19796075664863982, 0.2892504082860423, 0.16871741396917148, 0.11565373925152819, 0.2526902129189753, 0.28186862221006936, 0.40186877847358965, 0.39752940650611646, 0.20359111951016695, 0.3490378102688888, 0.18686026104732967, 0.2997519363091496, 0.24004366527618784, 0.1806055021389652, 0.1669877384211965, 0.2893395260335545]","[0.3673069691657036, 0.44530830676530525, 0.3341158647205251, 0.26288304148718267, 0.39484168688312987, 0.4466174537525821, 0.514002631066679, 0.5202708985585388, 0.34165047748677574, 0.489922197045801, 0.36469385378191194, 0.36311950379231617, 0.37594874450156673, 0.1806055021389652, 0.288856478708387, 0.4401031547264035]"
