"Swap 
 Percentage",Measurement,Feature,sex,age,restecg,thal,exang,cp,chol,thalach,trestbps,fbs,ca,oldpeak,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
50%,Total variation distance,restecg,-,0.08,-,0.26,0.13,0.13,-,-,0.33,0.07,0.11000000000000001,0.16,,0.030476190476190455,0.030476190476190455,0.44209105501481644,2.106772492643235,[],"[0.02333333333333331, 0.15066197691197689, 0.062171151861554294, 0.10516317016317009, 0.3121850079744817, 0.040882352941176446, 0.04008981214863566, 0.08874292374292368]","[0.11025474525474516, 0.4121879917468152, 0.19268687581768068, 0.2340005827505826, 0.6459089345467055, 0.11214441389363983, 0.149962006947301, 0.24962694168576505]"
50%,Jensen-Shannon divergence,restecg,-,0.04,-,0.11,0.06,0.05,-,-,0.09,0.03,0.05,0.07,,0.01674867511675312,0.01674867511675312,0.16650224452318227,0.5146926461261129,[],"[0.011225126467687519, 0.06042654884917279, 0.027474399152260038, 0.04159997142536205, 0.08400738426589555, 0.02027647734534887, 0.01624597718960587, 0.03825125411752559]","[0.03988986626815172, 0.10710132915950261, 0.06228842765351131, 0.05439848085604843, 0.09692365063565817, 0.03518021112554682, 0.050588521116300605, 0.0683221593113933]"
50%,Hellinger distance,thal,-,-,-,-,0.32999999999999996,0.32,-,0.35,0.33999999999999997,0.27,0.30000000000000004,0.31,,0.1564064003994044,0.1564064003994044,0.7307472093376406,2.229232466424361,[],"[0.15333134275259452, 0.1689064757710072, 0.20042714626326824, 0.2149165358243999, 0.1328646395393672, 0.12972464850418314, 0.14851082922165246]","[0.33523747176406293, 0.31483510348782695, 0.35195379046031167, 0.34059382356736895, 0.2756532762210029, 0.30464154543472394, 0.306317455489064]"
50%,Wasserstein distance,thal,-,-,-,-,0.02,0.02,-,0.03,0.03,0.02,0.02,0.02,,0.00848007255915813,0.00848007255915813,0.060082216217014026,0.1633947597781619,[],"[0.013766585877952469, 0.016400821183563303, 0.019955234575380634, 0.01728491385462446, 0.01158341826165856, 0.01106017974205093, 0.013153133820481461]","[0.02699189052872463, 0.021146053275177313, 0.028904417531428365, 0.02304053757030839, 0.018962885658883398, 0.02112801056760463, 0.023220964646035163]"
50%,Total variation distance,thal,-,-,-,-,0.39,0.33999999999999997,-,0.41000000000000003,0.37,0.30000000000000004,0.29000000000000004,0.36,,0.16131733462615813,0.16131733462615813,0.8619117743711395,3.850051204945874,[],"[0.18624458874458868, 0.2153771447850395, 0.2550368095956331, 0.24955361631832215, 0.1574761186525892, 0.1527331002331002, 0.18476750116069002]","[0.5708223690654031, 0.547545137610927, 0.6581400380665086, 0.6221356747827335, 0.4577208575737986, 0.4473755687485663, 0.5463115590979368]"
50%,Jensen-Shannon divergence,thal,-,-,-,-,0.13,0.12,-,0.13,0.13,0.1,0.12000000000000001,0.11,,0.05920333402395271,0.05920333402395271,0.26705330926916565,0.8241379454415635,[],"[0.05556810321498429, 0.06090900174783198, 0.07195704174279939, 0.07881267491336472, 0.04801947123563222, 0.04692361445100973, 0.053510043184803534]","[0.12311962364652347, 0.1161264014263584, 0.1290445311337648, 0.1264149756035231, 0.10166331620969479, 0.11478875635919639, 0.11298034106250257]"
50%,Hellinger distance,exang,-,-,-,-,-,0.33,-,-,0.28,0.15,0.3,0.24,,0.08506388855135608,0.08506388855135608,0.49511529003746646,1.30505844531504,[],"[0.22403271458981067, 0.21725992402379718, 0.04360908365129298, 0.20782878302350577, 0.12737229768381425]","[0.3347865194769354, 0.2820724726013026, 0.15831069795045946, 0.29504695032609174, 0.2348418049602509]"
50%,Wasserstein distance,exang,-,-,-,-,-,0.04,-,-,0.03,0.01,0.03,0.02,,0.0037167977599714295,0.0037167977599714295,0.04915735678175819,0.12056137200062697,[],"[0.02798423944522187, 0.026486694716689692, 0.00263423530561082, 0.024285484392823103, 0.00949046418322803]","[0.03595911619234505, 0.029120930022300512, 0.010049788117981021, 0.029571997711617424, 0.01585953995638297]"
50%,Total variation distance,exang,-,-,-,-,-,0.42,-,-,0.33,0.17,0.33,0.23,,0.0715268065268065,0.0715268065268065,0.5737639207552891,2.4702577904252756,[],"[0.28856441348469214, 0.28080930961247963, 0.03969187675070026, 0.2651722963139372, 0.13023633229515577]","[0.7034337720243293, 0.6122445619097254, 0.20568419712382555, 0.5858785701742357, 0.36301668919315966]"
50%,Jensen-Shannon divergence,exang,-,-,-,-,-,0.12,-,-,0.1,0.06,0.1,0.09,,0.03236289955316498,0.03236289955316498,0.1791827553233153,0.4759891864697488,[],"[0.07926893416587216, 0.0769215169523154, 0.01625848249854286, 0.07412544189862647, 0.04706533602494371]","[0.11999934659357077, 0.10148295556381101, 0.058855396966930165, 0.10805846820461945, 0.0875930191408174]"
50%,Hellinger distance,cp,-,-,-,-,-,-,-,-,0.36,0.19,0.27,0.18,,0.10168238134804561,0.10168238134804561,0.34405690710794956,1.0053868126330547,[],"[0.2352724245010524, 0.09165878521027318, 0.1043295162412526, 0.05348832556722978]","[0.3593604245741786, 0.1925333481814611, 0.27309168543675577, 0.1804013544406594]"
50%,Wasserstein distance,cp,-,-,-,-,-,-,-,-,0.03,0.02,0.02,0.01,,0.00526847061122164,0.00526847061122164,0.02477263749728535,0.0717919334316813,[],"[0.02154299284177621, 0.00743359551994288, 0.00683818617004453, 0.0031935592403637995]","[0.028417264426966092, 0.012738151546309879, 0.01898092836645607, 0.011655589091949258]"
50%,Total variation distance,cp,-,-,-,-,-,-,-,-,0.41,0.22,0.26,0.19,,0.08889933595815944,0.08889933595815944,0.3667590005883349,1.6370193360131435,[],"[0.29274739922959736, 0.10696692196692195, 0.09969187675070024, 0.056313131313131294]","[0.7103905971049933, 0.32195152070152067, 0.35736365758424565, 0.24731356062238408]"
50%,Jensen-Shannon divergence,cp,-,-,-,-,-,-,-,-,0.14,0.07,0.1,0.07,,0.038072214345914145,0.038072214345914145,0.12678860935619715,0.3720104735575303,[],"[0.08551340878837195, 0.03316948070713081, 0.03874647616503424, 0.020003424360029037]","[0.13162049167515916, 0.07071338495417637, 0.10254071366559754, 0.06713588326259723]"
50%,Hellinger distance,chol,-,-,0.09000000000000001,-,0.08,0.06,-,-,-,-,0.11,-,,0.009879241915936799,0.009879241915936799,0.1263804861378876,0.34721124660109104,[],"[0.07469179049344218, 0.049396209579684, 0.02699059085460343, 0.08192389751617202]","[0.09854239031286156, 0.08312605131504018, 0.05662831660241383, 0.10891448837077544]"
50%,Wasserstein distance,chol,-,-,0.0,-,0.0,0.0,-,-,-,-,0.01,-,,0.00052323851960763,0.00052323851960763,0.007632065303242315,0.021615163672066888,[],"[0.00315747382521845, 0.00368071234482608, 0.00209295407843052, 0.0052865133187943196]","[0.00472718938404134, 0.0057736664232566, 0.00368071234482608, 0.0074335955199428694]"
50%,Total variation distance,chol,-,-,0.08,-,0.08,0.04,-,-,-,-,0.11,-,,0.00499999999999999,0.00499999999999999,0.11033566278922312,0.5117290088652315,[],"[0.06375604787369492, 0.04547619047619046, 0.02412280701754385, 0.07731628021101702]","[0.14520440343969748, 0.11631386157701942, 0.06960415745245464, 0.18060658639606003]"
50%,Jensen-Shannon divergence,chol,-,-,0.04,-,0.03,0.02,-,-,-,-,0.04,-,,0.00389604756942665,0.00389604756942665,0.047389901723010816,0.1302913110425011,[],"[0.02800928290337365, 0.01832487484689391, 0.01005798547030267, 0.030595565086598102]","[0.03708046959184447, 0.031064447593129638, 0.021300296568540808, 0.040846097288986194]"
50%,Hellinger distance,thalach,-,-,0.27,-,0.23,0.24,-,-,-,-,-,0.22,,0.12691302887342965,0.12691302887342965,0.35217128034871564,0.95593272523112,[],"[0.12193372132189632, 0.08961527334928651, 0.12691302887342965, 0.11205447940595951]","[0.26786234903871603, 0.22816748746787238, 0.235334661102228, 0.22456822762230366]"
50%,Wasserstein distance,thalach,-,-,0.02,-,0.01,0.02,-,-,-,-,-,0.01,,0.00947242147565535,0.00947242147565535,0.021876782931870696,0.06540481495095367,[],"[0.0063149476504369, 0.00422199357200639, 0.00947242147565535, 0.00479936021433205]","[0.01845768984684844, 0.015336301436775349, 0.0178622804969501, 0.013748543170379782]"
50%,Total variation distance,thalach,-,-,0.26,-,0.2,0.25,-,-,-,-,-,0.22,,0.1359951159951159,0.1359951159951159,0.34286555549713427,1.3406219451156518,[],"[0.11295093795093791, 0.06937912964228753, 0.1359951159951159, 0.09541569541569536]","[0.37945859695859685, 0.2698758916522074, 0.3844200244200242, 0.30686743208482326]"
50%,Jensen-Shannon divergence,thalach,-,-,0.1,-,0.08,0.09,-,-,-,-,-,0.08,,0.04680262662416161,0.04680262662416161,0.1314742597961691,0.3569533254794757,[],"[0.04580961190982148, 0.03410414659517299, 0.04680262662416161, 0.0426268812148589]","[0.09982015253702206, 0.08584327607760159, 0.08689729853902012, 0.08439259832583194]"
50%,Hellinger distance,trestbps,-,-,-,-,-,-,-,-,-,0.11,-,0.09,,0.039516967663747196,0.039516967663747196,0.08180248386843669,0.19299266463817738,[],"[0.05758044155477556, 0.02699059085460343]","[0.10528164119361433, 0.08771102344456304]"
50%,Wasserstein distance,trestbps,-,-,-,-,-,-,-,-,-,0.0,-,0.0,,0.00212903949357586,0.00212903949357586,0.0050248940589905,0.01318921923562679,[],"[0.0036987550523987596, 0.00209295407843052]","[0.00685622887761721, 0.00633299035800958]"
50%,Total variation distance,trestbps,-,-,-,-,-,-,-,-,-,0.1,-,0.09000000000000001,,0.03380952380952379,0.03380952380952379,0.07167494270435443,0.2691777503542208,[],"[0.05144512350394702, 0.024285714285714268]","[0.1530922672099142, 0.11608548314430661]"
50%,Jensen-Shannon divergence,trestbps,-,-,-,-,-,-,-,-,-,0.04,-,0.03,,0.01477098906246043,0.01477098906246043,0.030653985211160723,0.07179695129128218,[],"[0.02166243083176574, 0.01010356146563484]","[0.03932346564563283, 0.03247348564564935]"
50%,Hellinger distance,fbs,-,-,-,-,-,-,-,0.22,-,-,-,0.23,,0.07733892538664916,0.07733892538664916,0.2319085554024905,0.45033860904347545,[],"[0.1503357059392461, 0.15880355409243654]","[0.22093538044514252, 0.22940322859833295]"
50%,Wasserstein distance,fbs,-,-,-,-,-,-,-,0.01,-,-,-,0.01,,0.00474523209161401,0.00474523209161401,0.016121159216186787,0.032314489262664295,[],"[0.008462029851585449, 0.014289824397560102]","[0.013243347358344818, 0.019071141904319473]"
50%,Total variation distance,fbs,-,-,-,-,-,-,-,0.23,-,-,-,0.24,,0.06690799396681744,0.06690799396681744,0.2386200319288554,0.8130851501439734,[],"[0.16613927738927733, 0.1772847985347985]","[0.3954470529470528, 0.41763809719692063]"
50%,Jensen-Shannon divergence,fbs,-,-,-,-,-,-,-,0.09,-,-,-,0.09,,0.02899904701610097,0.02899904701610097,0.0859856146557077,0.166969606075433,[],"[0.055598979328647956, 0.05837415595056551]","[0.08210942259370008, 0.08486018348173294]"
50%,Hellinger distance,ca,-,-,-,-,-,-,-,0.41000000000000003,-,0.42000000000000004,-,-,,0.2182579301243595,0.2182579301243595,0.43596589754959203,0.8325719483279164,[],"[0.21079924432118213, 0.22461669052928296]","[0.41109217362814826, 0.42147977469976805]"
50%,Wasserstein distance,ca,-,-,-,-,-,-,-,0.04,-,0.03,-,-,,0.022625555296136822,0.022625555296136822,0.04609911784818946,0.07960442581065044,[],"[0.02374420316564279, 0.02320292193846249]","[0.04377160857131414, 0.03583281723933631]"
50%,Total variation distance,ca,-,-,-,-,-,-,-,0.51,-,0.52,-,-,,0.275024975024975,0.275024975024975,0.5613383438886534,1.6035786306916335,[],"[0.2818842449260406, 0.2907424928013163]","[0.7952858695312255, 0.808292761160408]"
50%,Jensen-Shannon divergence,ca,-,-,-,-,-,-,-,0.15000000000000002,-,0.15000000000000002,-,-,,0.07846430416986791,0.07846430416986791,0.15671510412181358,0.30314658769953867,[],"[0.07528153168755015, 0.08122006821634117]","[0.14873408356794166, 0.15441250413159702]"
50%,Hellinger distance,oldpeak,-,-,-,-,-,-,-,-,-,-,-,-,,0.05348832556722978,0.05348832556722978,0.05348832556722978,0,[],[],[]
50%,Wasserstein distance,oldpeak,-,-,-,-,-,-,-,-,-,-,-,-,,0.00211099678600319,0.00211099678600319,0.00211099678600319,0,[],[],[]
50%,Total variation distance,oldpeak,-,-,-,-,-,-,-,-,-,-,-,-,,0.04071751777634127,0.04071751777634127,0.04071751777634127,0,[],[],[]
50%,Jensen-Shannon divergence,oldpeak,-,-,-,-,-,-,-,-,-,-,-,-,,0.02021323273998363,0.02021323273998363,0.02021323273998363,0,[],[],[]
